epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
73,15955.2,0.48289,0.90316,0.35167,0.86208,0,0.70196,0.64144,0.64038,0.39056,0.69133,0.62358,0.61203,0.33467,1.55078,2.93569,1.44231,1.7355,0,0.000189475,0.000189475,0.000189475
74,16174.6,0.47864,0.89143,0.34907,0.86017,0,0.67697,0.66066,0.64329,0.39256,0.69957,0.61476,0.61415,0.33577,1.55371,2.94817,1.43792,1.73524,0,0.000177651,0.000177651,0.000177651
75,16392.8,0.47427,0.89036,0.34506,0.86024,0,0.68448,0.65117,0.63721,0.39007,0.70024,0.61254,0.61115,0.33391,1.55275,2.96164,1.44095,1.73008,0,0.000166149,0.000166149,0.000166149
76,16609.1,0.47117,0.88083,0.34153,0.85963,0,0.71289,0.63245,0.63872,0.39077,0.70037,0.61583,0.61203,0.33417,1.55187,2.97672,1.44119,1.73263,0,0.000154982,0.000154982,0.000154982
77,16828.7,0.47062,0.87211,0.34275,0.85966,0,0.67166,0.66599,0.64181,0.39166,0.68228,0.62348,0.6117,0.33604,1.54921,2.99937,1.45141,1.72904,0,0.000144161,0.000144161,0.000144161
78,17046.4,0.46085,0.87735,0.33705,0.8524,0,0.69826,0.63947,0.64044,0.39079,0.69023,0.63058,0.61166,0.33622,1.54915,2.98878,1.46148,1.73665,0,0.000133695,0.000133695,0.000133695
79,17263.7,0.45855,0.8786,0.33802,0.85298,0,0.71132,0.62895,0.63605,0.38862,0.68995,0.62471,0.6065,0.3359,1.55521,2.9956,1.45385,1.74611,0,0.000123596,0.000123596,0.000123596
80,17480.7,0.45246,0.86438,0.33407,0.84875,0,0.68601,0.65133,0.6385,0.38852,0.68762,0.63037,0.61482,0.33577,1.55975,3.00876,1.44569,1.75164,0,0.000113873,0.000113873,0.000113873
81,17698.4,0.4511,0.85898,0.33144,0.85032,0,0.66506,0.6664,0.63833,0.388,0.6818,0.63124,0.61484,0.33503,1.56178,3.02557,1.45443,1.75615,0,0.000104537,0.000104537,0.000104537
82,17915.6,0.45055,0.85188,0.32973,0.85258,0,0.69707,0.64176,0.63841,0.38848,0.69089,0.62487,0.61597,0.33607,1.55767,3.04774,1.46074,1.7532,0,9.55951e-05,9.55951e-05,9.55951e-05
